,jobTitles,seniority,workLanguage,angličtina,česky,location,remoteAdj,salAvg,category,mainProgLangAdj
94,Full Stack Developer ,Senior,"česky, angličtina",True,True," Hybrid  +1 • Praha , Donská 1554/12 ",Hybrid or no remote,110000.0,Backend, java
95,Senior Java Developer (Big Data) ,Mid Advanced,angličtina,True,False," Prague, Brno • Remote • Prague , Karolinská 654/2• Brno , Holandská 2 ",Remote,150000.0,Backend, java
96,PHP Developer - SaaS Railway Platform ,Mid Advanced,"angličtina, česky",True,True," Hybrid  +1 • Prague , Belehradska 381 ",Hybrid or no remote,97500.0,Backend, php
97,Python Developer ,Mid Advanced,"angličtina, ukrajinsky",True,False,,Remote,100300.0,Backend, python
98,Remote Java Developer ,Senior,angličtina,True,False,,Remote,210650.0,Backend, java
100,Senior .NET Agent developer for security ,Mid Advanced,"polsky, angličtina",True,False," Hybrid  +1 • Gdańsk , Grunwaldzka 411 ",Hybrid or no remote,106550.0,Backend, net
101,Software Engineer (Java) ,Mid Advanced,"polsky, angličtina",True,False," Gdańsk, Grunwaldzka 411  (Po pandemi) • Gdańsk , Grunwaldzka 411 ",Hybrid or no remote,95900.0,Backend, java
102," Software Engineer (C++, Mid+) ",Mid,angličtina,True,False," Hybrid  +5 • Gdynia , aleja Zwycięstwa 96/98• Słupsk , ul. Grunwaldzka 10• Gdańsk • Sopot • Lębork  ",Hybrid or no remote,61250.0,Backend,other
103,Remote Java Engineer (relocation to PL) ,Senior,angličtina,True,False," Wrocław, Kraków, Warszawa  +5 • Remote • Wrocław • Kraków • Warszawa • Gdańsk • Gliwice • Łódź • Katowice • Białystok  ",Remote,108950.0,Backend, java
104,Rust Developer ,Mid,"angličtina, ukrajinsky",True,False,,Remote,89450.0,Backend,other
105,Java Team Lead ,Senior,angličtina,True,False,Warszawa • Remote • Warszawa  ,Remote,179000.0,Backend, java
106,Java Backend Developer  [Zdalnie] ,Mid,angličtina,True,False," Warszawa, Białystok, Kielce  +2 • Remote • Warszawa • Białystok • Kielce • Katowice • Karaków  ",Remote,79950.0,Backend, java
108,Mid/Senior Java Backend Engineer ,Mid Advanced,"angličtina, polsky",True,False," Warszawa, ul. Twarda 4 • Remote • Warszawa , ul. Twarda 4 ",Remote,97500.0,Backend, java
109,Ruby on rails Developer ,Mid Advanced,"ukrajinsky, angličtina",True,False,,Remote,82050.0,Backend,other
110,Senior Python Lead ,Senior,"polsky, angličtina",True,False," Warszawa, Kraków, Wrocław  +2 • Remote • Warszawa • Kraków • Wrocław • Gdańsk • Łódź  ",Remote,127900.0,Backend, python
111,Senior Node.js Developer ,Senior,"ukrajinsky, angličtina",True,False,,Remote,113300.0,Backend, javascript
112,Remote Java Engineer ,Mid Advanced,angličtina,True,False," Poznań, Warszawa • Remote • Poznań , Rataje 164• Warszawa , Chmielna 73 ",Remote,94550.0,Backend, java
113,(Senior) Software Developer ,Senior,"angličtina, německy",True,False,Hybrid  +1 • Niederdreisbach  ,Hybrid or no remote,135850.0,Backend, python
114,Senior Back-end Engineer (PHP) ,Senior,angličtina,True,False," Vilnus, Kaunas, Klaipėda  +1 • Remote • Vilnus • Kaunas • Klaipėda • Berlin  ",Remote,137900.0,Backend, php
115,Remote Mid Golang Backend Developer ,Mid,"angličtina, polsky",True,False," Kraków, Armii Krajowej 18 • Remote • Kraków , Armii Krajowej 18 ",Remote,95900.0,Backend,other
119,.NET Developer ,Mid,"angličtina, polsky",True,False," Warsaw, Mokotowska 1 • Remote • Warsaw , Mokotowska 1 ",Remote,119900.0,Backend, net
120,C# Developer ,Mid,"angličtina, polsky",True,False," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ",Hybrid or no remote,71900.0,Backend, net
121,Senior Python Backend Engineer ,Senior,angličtina,True,False,,Remote,180300.0,Backend, python
122,Backend Engineer (ML Infrastructure) ,Senior,"angličtina, polsky",True,False," Hybrid  +1 • Kraków , Dekerta 24 ",Hybrid or no remote,109250.0,Backend, python
123,Java AWS Engineer ,Mid Advanced,"angličtina, polsky",True,False," Kraków, Białystok, Wrocław  +2 • Remote • Kraków , ul. Żółkiewskiego 17A• Białystok , ul. Mikołaja Kopernika 95a• Wrocław , Fabryczna 6• Poznań • Gdańsk  ",Remote,101500.0,Backend, java
124,Senior Java Software Engineer (Zeropark) ,Senior,"polsky, angličtina",True,False," Kraków, Lubicz 17G • Remote • Kraków , Lubicz 17G ",Remote,116400.0,Backend, java
125,Senior PHP Engineer ,Senior,angličtina,True,False,,Remote,125300.0,Backend, php
127,C# developer ,Mid,angličtina,True,False," Kraków, Pawia 7  (Po pandemi) • Kraków , Pawia 7 ",Hybrid or no remote,66550.0,Backend, net
128,Senior .NET Engineer ,Senior,"ukrajinsky, angličtina",True,False," Kyiv, Kharkivs'ke Hwy, 175 • Remote • Kyiv , Kharkivs'ke Hwy, 175 ",Remote,107350.0,Backend, net
129,Golang Developer ,Mid Advanced,"angličtina, polsky",True,False," Warsaw, Kraków, Gdańsk  +1 • Remote • Warsaw • Kraków • Gdańsk • Wrocław  ",Remote,138550.0,Backend,other
130,Mid/ Senior Software Engineer (Scala) ,Mid Advanced,angličtina,True,False," Warsaw, ul. Puławska 39/20 • Remote • Warsaw , ul. Puławska 39/20 ",Remote,134250.0,Backend,other
131,Mid/ Senior Software Engineer (Python) ,Mid Advanced,angličtina,True,False," Warsaw, ul. Puławska 39/20 • Remote • Warsaw , ul. Puławska 39/20 ",Remote,134250.0,Backend, python
